**** Molotov v1.6. Happy breaking! ****
Testing stage.normandy.nonprod.cloudops.mozgcp.net
Preparing 1 worker...
OK
SUCCESSES: 860 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 869 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 878 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 888 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 897 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 907 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 916 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 926 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 935 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 945 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 955 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 964 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 974 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 984 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 993 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1003 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1013 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1022 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1032 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1041 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1051 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1060 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1069 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1079 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1088 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1098 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1105 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1105 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1115 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1124 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1134 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1143 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1153 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1162 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1169 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1170 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1179 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1188 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1198 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1207 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1210 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1215 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1216 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1223 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1232 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1241 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1251 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1260 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1260 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1268 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1277 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1287 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1296 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1306 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1315 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1324 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1333 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1343 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1352 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1352 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1360 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1369 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1378 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1388 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1397 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1406 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1416 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1425 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1434 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1444 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1453 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1462 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1472 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1481 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1490 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1498 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1507 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1517 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1526 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1532 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1541 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1551 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1560 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1569 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1579 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1588 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1598 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1607 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1616 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1626 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1635 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1640 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1643 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1652 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1661 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1670 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1680 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1689 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1699 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1708 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1718 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1728 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1737 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1747 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1756 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1759 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1765 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1774 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1782 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1782 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1791 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1801 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1810 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1820 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1822 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1828 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1837 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1846 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1856 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1865 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1865 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1873 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1882 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1892 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1902 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1911 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1920 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1930 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1939 | FAILURES: 0 | WORKERS: 1
